ID,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
1,  0  0 30.888284 ,  +59 33 34.84732 , -   80.84 , -   23.88 ,    7.6 ,  6.18  
2,  0  0 42.104182 ,  -64 27 56.87866 , +    1.94 , +   10.50 ,    6.1 ,  8.34  
3,  0  1 19.251507 ,  +49 58 53.61029 , +   13.22 , -   10.94 ,    4.5 ,  6.22  
4,  0  1 39.461850 ,  +73 36 42.64626 , +   76.60 , -   12.54 ,   15.2 ,  6.50  
5,  0  1 55.273385 ,  -37 13 47.83422 , -   19.59 , -   45.27 ,    7.5 ,  7.04  
6,  0  2 16.683440 ,  -13 24 26.77273 , +  260.96 , +   32.38 ,   14.9 ,  6.90  
7,  0  2 21.543807 ,  +11  0 22.44955 , -    4.00 , -   43.16 ,   29.7 ,  8.48  
8,  0  2 29.701948 ,  + 8 29  7.66830 , -   94.11 , -   47.36 ,   26.5 ,  5.70  
9,  0  2 57.432525 ,  -39 31 38.67800 , +   60.30 , -   36.18 ,    6.3 ,  9.00  
10,  0  3  5.813948 ,  +31 52 12.29760 , +    9.98 , -    8.45 ,   13.2 ,  8.75  
11,  0  3 30.508977 ,  +12 21 24.55773 , -   13.90 , -    3.04 ,    4.9 ,  7.45  
12,  0  3 40.103939 ,  + 3 54 25.10867 , -   23.29 , -   12.36 ,    8.6 ,  7.89  
13,  0  4 14.648408 ,  -34 24 52.97621 , +   68.23 , -   25.48 ,    6.5 ,  8.41  
14,  0  4 30.118541 ,  -10 30 34.28265 , -    6.42 , -   11.73 ,    1.7 ,  4.99  
15,  0  5 25.465143 ,  - 3 51  6.02226 , -    6.04 , -   31.78 ,    4.6 ,  7.59  
16,  0  5 41.961032 ,  +13 23 46.55556 , +   42.12 , -    6.93 ,    8.7 ,  5.55  
17,  0  6 26.539632 ,  +64 11 46.20651 , +    9.54 , -    0.05 ,    3.3 ,  5.57  
18,  0  6 53.385425 ,  -55  9 38.98727 , +   16.39 , -   13.19 ,    2.0 ,  8.79  
19,  0  7 15.376926 ,  -41 53 22.44520 , -   62.59 , +   17.72 ,   17.1 ,  8.23  
20,  0  7 36.970129 ,  -86  2 19.53135 , +   23.09 , +    7.16 ,    2.5 ,  7.39  
21,  0  7 40.456176 ,  +39  2  5.18884 , -   67.66 , -   56.84 ,    9.5 ,  8.01  
22,  0  8 48.496260 ,  -47  3 38.78444 , +   99.39 , -   45.98 ,    8.5 ,  7.81  
23,  0  8 53.644005 ,  -22 10 46.25881 , -   17.63 , -    5.65 ,    3.0 ,  7.13  
24,  0  9 19.444205 ,  +17 32  2.11984 , +    4.20 , -  130.23 ,   19.2 ,  7.07  
25,  0  9 52.117202 ,  -62 17 48.46238 , +   17.16 , +   17.18 ,    7.3 ,  6.34  
26,  0 10  2.174691 ,  -82 13 26.57230 , -   21.88 , -   20.75 ,   13.4 ,  5.29  
27,  0 10 42.833628 ,  -12 34 47.62831 , +  147.66 , -   38.23 ,   15.3 ,  5.84  
28,  0 11 15.672657 ,  + 7 56 53.30893 , -   10.96 , -    7.99 ,    4.2 ,  7.69  
29,  0 11 36.694560 ,  -80 10 25.44079 , -   10.38 , +   13.01 ,    4.7 ,  7.21  
30,  0 11 56.056711 ,  -42 10 19.72133 , -   87.73 , -   45.30 ,    7.9 ,  6.53  
31,  0 12 40.336663 ,  - 1 13 37.89922 , +   78.71 , +    0.05 ,    4.6 ,  7.22  
32,  0 13 13.807024 ,  -37 49 22.34891 , -    8.74 , -    3.93 ,    3.3 ,  7.21  
33,  0 13 19.621988 ,  -84 59 38.32299 , +   10.99 , +   17.31 ,    4.0 ,  5.78  
34,  0 13 30.839849 ,  +41  2  7.33238 , -  123.43 , -  146.73 ,   28.5 ,  5.71  
35,  0 13 45.088149 ,  -48 41  3.07963 , -   16.96 , -   23.22 ,    9.7 ,  6.97  
36,  0 14  2.281057 ,  +33 12 21.74225 , -    7.79 , -   18.64 ,   11.1 ,  6.22  
37,  0 14  5.975864 ,  +73 23 27.35331 , -    3.58 , +    6.17 ,    1.2 ,  8.25  
38,  0 14 14.707452 ,  -55  4 10.78144 , -    2.98 , -   29.17 ,   21.6 ,  6.66  
39,  0 15 16.396753 ,  -16 45 22.49664 , +   32.36 , -   22.19 ,    7.8 ,  7.67  
40,  0 15 57.301705 ,  + 4 15  4.01470 , +   19.91 , -   14.01 ,    7.3 ,  7.13  
41,  0 16  8.866726 ,  -31 26 47.02322 , +  118.62 , -   27.64 ,    7.6 ,  5.66  
42,  0 16 32.464724 ,  -32 45 37.53665 , +   34.11 , -    9.52 ,    1.6 ,  7.34  
43,  0 16 39.422478 ,  + 1 51  2.18993 , +    3.85 , +   12.78 ,    3.5 ,  6.98  
44,  0 16 50.807563 ,  -49 37 39.86570 , +   33.58 , -   18.45 ,    7.3 ,  8.88  
45,  0 16 54.999480 ,  +23 15 22.30284 , +   42.70 , -   15.31 ,    7.1 ,  6.95  
46,  0 17  9.043827 ,  +47 56 50.65856 , +    4.18 , -    4.03 ,    3.4 ,  5.86  
47,  0 17 47.698260 ,  + 1 41 19.42083 , +   90.73 , +    9.53 ,    9.8 ,  6.19  
48,  0 17 50.378257 ,  +59  3 27.31219 , +    1.85 , -    1.17 ,    1.5 ,  7.71  
49,  0 17 56.305932 ,  +12 46 17.27934 , -    7.63 , -   19.35 ,    7.1 ,  6.54  
50,  0 19 22.457221 ,  -14 49 58.23145 , -   21.73 , -   21.26 ,    4.7 ,  9.08  
51,  0 19 52.987135 ,  +42 52 47.77428 , -   17.82 , -   22.86 ,    4.4 ,  8.66  
52,  0 20 39.036107 ,  -69 37 29.68644 , -    4.03 , -    0.56 ,   10.6 ,  5.50  
53,  0 20 49.593454 ,  -36 28 39.74064 , +    3.47 , -    9.29 ,    2.8 ,  8.67  
