 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
2504, 49 Aur             ,  6 35 12.061458 ,  +28  1 20.31940 , -    0.54 , -   13.60 ,    7.3 ,  5.26  
2505,                    ,  6 35 17.596731 ,  + 9 59 18.00973 , +    0.41 , -    7.39 ,    2.0 ,  5.93  
4599,                    ,  6 35 48.837063 ,  +54 35 22.20323 , -    3.31 , +    1.69 ,    3.9 ,  8.38  
4600,                    ,  6 35 50.217510 ,  +49 52 57.11816 , -   13.40 , -    8.39 ,    8.5 ,  8.24  
2509,                    ,  6 36 35.331642 ,  - 5 12 40.12138 , +    2.33 , -   15.06 ,    3.9 ,  5.52  
2510, nu^2 CMa           ,  6 36 41.037352 ,  -19 15 21.16368 , +   62.20 , -   69.74 ,   50.4 ,  3.95  
4601,                    ,  6 36 57.342726 ,  +69 21 28.59629 , -    8.54 , -    2.33 ,    2.8 ,  8.29  
2512,                    ,  6 37 40.326755 ,  + 2 42 14.97389 , -   38.68 , -   49.06 ,    6.8 ,  6.17  
4602,                    ,  6 38 11.089237 ,  +72 51  3.24085 , +    1.20 , -   27.83 ,    7.1 ,  8.73  
4604,                    ,  6 38 47.925765 ,  + 6 54  6.78303 , -    2.62 , +    0.38 ,     .7 ,  6.94  
4605,                    ,  6 39  3.586364 ,  -18 11  8.97896 , +    1.96 , +    0.37 ,    3.1 ,  7.13  
2513,                    ,  6 39  5.300653 ,  +22  1 51.16721 , +   14.11 , -   24.75 ,    7.7 ,  6.09  
2515,                    ,  6 39 16.719136 ,  -14  8 44.74898 , +    4.54 , -    6.94 ,    2.0 ,  4.82  
4606,                    ,  6 39 26.770338 ,  -43 25 38.24699 , +    3.13 , -    7.23 ,    3.0 ,  7.18  
4607,                    ,  6 40 17.303362 ,  + 4 54 41.08027 , -    3.96 , +    0.53 ,     .8 ,  9.15  
2507,                    ,  6 40 28.877238 ,  +77 59 44.81611 , +   14.26 , -    6.11 ,    5.6 ,  5.75  
4608,                    ,  6 40 30.980349 ,  +37 15 39.71279 , -   18.17 , -   24.06 ,    5.7 ,  8.68  
2511,                    ,  6 40 32.251078 ,  +71 44 55.62780 , +    3.85 , +   10.54 ,    4.9 ,  5.88  
4609,                    ,  6 41  4.289686 ,  +53 23 54.53170 , -    0.66 , +    7.93 ,    5.6 ,  7.50  
2516,                    ,  6 41 37.757969 ,  +35 55 54.93976 , -   16.39 , -   25.95 ,   12.7 ,  6.48  
4610,                    ,  6 42 45.030057 ,  +32 33 31.91849 , -    6.62 , -    7.12 ,    2.3 ,  6.74  
2517, psi^4 Aur          ,  6 43  4.971656 ,  +44 31 28.02153 , -   44.79 , -   30.06 ,   10.6 ,  5.04  
4611,                    ,  6 43  6.047890 ,  -29 14 14.38942 , -    1.88 , +    2.15 ,    4.8 ,  7.28  
2522,                    ,  6 43 36.757579 ,  -73  7  5.54947 , +   12.33 , -   98.19 ,    7.7 ,  6.36  
4612,                    ,  6 43 53.529759 ,  -25 32  5.82487 , -   46.84 , +    8.21 ,    8.0 ,  6.70  
3950,                    ,  6 44 30.356975 ,  +82  6 55.19915 , +   13.63 , -   54.25 ,   14.4 ,  6.61  
4613,                    ,  6 44 44.209885 ,  -61 13 27.22206 , -    8.45 , +    8.41 ,    3.3 ,  6.95  
2518, 28 Gem             ,  6 44 45.460539 ,  +28 58 15.35182 , -    6.28 , -   23.89 ,    5.7 ,  5.42  
4614,                    ,  6 45  9.778700 ,  -82 53 45.03570 , -   32.03 , +    9.53 ,   12.4 ,  7.60  
4615,                    ,  6 46 10.370862 ,  +23 22 16.40720 , -   10.47 , +   44.90 ,    3.1 ,  6.51  
4617,                    ,  6 46 37.981765 ,  -58 39 25.27196 , +   14.44 , -   32.08 ,    3.5 ,  8.56  
2521,                    ,  6 46 39.016102 ,  -10  6 26.49564 , -   11.77 , +    0.85 ,    6.0 ,  5.66  
4618,                    ,  6 46 41.614829 ,  -36 35 46.28684 , +    7.51 , +    3.30 ,    3.8 ,  7.95  
2520, 13 Lyn             ,  6 46 49.509491 ,  +57 10  9.03678 , +   13.95 , -   38.51 ,   15.6 ,  5.34  
4619,                    ,  6 46 50.199014 ,  - 9  9 52.45436 , -    8.91 , +    4.15 ,    3.7 ,  8.36  
2524,                    ,  6 47 18.708944 ,  -55 32 23.95863 , -    0.95 , +   24.96 ,    5.4 ,  5.60  
4620,                    ,  6 48 27.396704 ,  -12 50 26.22466 , -    8.25 , -    2.53 ,    1.5 ,  7.03  
