 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
3928,                    ,  0  0 30.888284 ,  +59 33 34.84732 , -   80.84 , -   23.88 ,    7.6 ,  6.18  
4001,                    ,  0  0 42.104182 ,  -64 27 56.87866 , +    1.94 , +   10.50 ,    6.1 ,  8.34  
3929,                    ,  0  1 19.251507 ,  +49 58 53.61029 , +   13.22 , -   10.94 ,    4.5 ,  6.22  
3930,                    ,  0  1 39.461850 ,  +73 36 42.64626 , +   76.60 , -   12.54 ,   15.2 ,  6.50  
3931,                    ,  0  1 55.273385 ,  -37 13 47.83422 , -   19.59 , -   45.27 ,    7.5 ,  7.04  
4002,                    ,  0  2 16.683440 ,  -13 24 26.77273 , +  260.96 , +   32.38 ,   14.9 ,  6.90  
4003,                    ,  0  2 21.543807 ,  +11  0 22.44955 , -    4.00 , -   43.16 ,   29.7 ,  8.48  
3933, 32 Psc             ,  0  2 29.701948 ,  + 8 29  7.66830 , -   94.11 , -   47.36 ,   26.5 ,  5.70  
4004,                    ,  0  2 57.432525 ,  -39 31 38.67800 , +   60.30 , -   36.18 ,    6.3 ,  9.00  
4005,                    ,  0  3  5.813948 ,  +31 52 12.29760 , +    9.98 , -    8.45 ,   13.2 ,  8.75  
4006,                    ,  0  3 30.508977 ,  +12 21 24.55773 , -   13.90 , -    3.04 ,    4.9 ,  7.45  
4007,                    ,  0  3 40.103939 ,  + 3 54 25.10867 , -   23.29 , -   12.36 ,    8.6 ,  7.89  
4008,                    ,  0  4 14.648408 ,  -34 24 52.97621 , +   68.23 , -   25.48 ,    6.5 ,  8.41  
2001, 3 Cet              ,  0  4 30.118541 ,  -10 30 34.28265 , -    6.42 , -   11.73 ,    1.7 ,  4.99  
4010,                    ,  0  5 25.465143 ,  - 3 51  6.02226 , -    6.04 , -   31.78 ,    4.6 ,  7.59  
2004, 86 Peg             ,  0  5 41.961032 ,  +13 23 46.55556 , +   42.12 , -    6.93 ,    8.7 ,  5.55  
2005, 10 Cas             ,  0  6 26.539632 ,  +64 11 46.20651 , +    9.54 , -    0.05 ,    3.3 ,  5.57  
4013,                    ,  0  6 53.385425 ,  -55  9 38.98727 , +   16.39 , -   13.19 ,    2.0 ,  8.79  
4014,                    ,  0  7 15.376926 ,  -41 53 22.44520 , -   62.59 , +   17.72 ,   17.1 ,  8.23  
4015,                    ,  0  7 36.970129 ,  -86  2 19.53135 , +   23.09 , +    7.16 ,    2.5 ,  7.39  
4016,                    ,  0  7 40.456176 ,  +39  2  5.18884 , -   67.66 , -   56.84 ,    9.5 ,  8.01  
4017,                    ,  0  8 48.496260 ,  -47  3 38.78444 , +   99.39 , -   45.98 ,    8.5 ,  7.81  
4018,                    ,  0  8 53.644005 ,  -22 10 46.25881 , -   17.63 , -    5.65 ,    3.0 ,  7.13  
4019,                    ,  0  9 19.444205 ,  +17 32  2.11984 , +    4.20 , -  130.23 ,   19.2 ,  7.07  
2007,                    ,  0  9 52.117202 ,  -62 17 48.46238 , +   17.16 , +   17.18 ,    7.3 ,  6.34  
3971, gamma^3 Oct        ,  0 10  2.174691 ,  -82 13 26.57230 , -   21.88 , -   20.75 ,   13.4 ,  5.29  
2008,                    ,  0 10 42.833628 ,  -12 34 47.62831 , +  147.66 , -   38.23 ,   15.3 ,  5.84  
4021,                    ,  0 11 15.672657 ,  + 7 56 53.30893 , -   10.96 , -    7.99 ,    4.2 ,  7.69  
4022,                    ,  0 11 36.694560 ,  -80 10 25.44079 , -   10.38 , +   13.01 ,    4.7 ,  7.21  
2009,                    ,  0 11 56.056711 ,  -42 10 19.72133 , -   87.73 , -   45.30 ,    7.9 ,  6.53  
4023,                    ,  0 12 40.336663 ,  - 1 13 37.89922 , +   78.71 , +    0.05 ,    4.6 ,  7.22  
4024,                    ,  0 13 13.807024 ,  -37 49 22.34891 , -    8.74 , -    3.93 ,    3.3 ,  7.21  
3972,                    ,  0 13 19.621988 ,  -84 59 38.32299 , +   10.99 , +   17.31 ,    4.0 ,  5.78  
2010, 23 And             ,  0 13 30.839849 ,  +41  2  7.33238 , -  123.43 , -  146.73 ,   28.5 ,  5.71  
2011,                    ,  0 13 45.088149 ,  -48 41  3.07963 , -   16.96 , -   23.22 ,    9.7 ,  6.97  
2012,                    ,  0 14  2.281057 ,  +33 12 21.74225 , -    7.79 , -   18.64 ,   11.1 ,  6.22  
4025,                    ,  0 14  5.975864 ,  +73 23 27.35331 , -    3.58 , +    6.17 ,    1.2 ,  8.25  
2013,                    ,  0 14 14.707452 ,  -55  4 10.78144 , -    2.98 , -   29.17 ,   21.6 ,  6.66  
4026,                    ,  0 15 16.396753 ,  -16 45 22.49664 , +   32.36 , -   22.19 ,    7.8 ,  7.67  
4027,                    ,  0 15 57.301705 ,  + 4 15  4.01470 , +   19.91 , -   14.01 ,    7.3 ,  7.13  
2014,                    ,  0 16  8.866726 ,  -31 26 47.02322 , +  118.62 , -   27.64 ,    7.6 ,  5.66  
4028,                    ,  0 16 32.464724 ,  -32 45 37.53665 , +   34.11 , -    9.52 ,    1.6 ,  7.34  
4029,                    ,  0 16 39.422478 ,  + 1 51  2.18993 , +    3.85 , +   12.78 ,    3.5 ,  6.98  
4030,                    ,  0 16 50.807563 ,  -49 37 39.86570 , +   33.58 , -   18.45 ,    7.3 ,  8.88  
4031,                    ,  0 16 54.999480 ,  +23 15 22.30284 , +   42.70 , -   15.31 ,    7.1 ,  6.95  
2016,                    ,  0 17  9.043827 ,  +47 56 50.65856 , +    4.18 , -    4.03 ,    3.4 ,  5.86  
2017,                    ,  0 17 47.698260 ,  + 1 41 19.42083 , +   90.73 , +    9.53 ,    9.8 ,  6.19  
4032,                    ,  0 17 50.378257 ,  +59  3 27.31219 , +    1.85 , -    1.17 ,    1.5 ,  7.71  
4033,                    ,  0 17 56.305932 ,  +12 46 17.27934 , -    7.63 , -   19.35 ,    7.1 ,  6.54  
4035,                    ,  0 19 22.457221 ,  -14 49 58.23145 , -   21.73 , -   21.26 ,    4.7 ,  9.08  
4036,                    ,  0 19 52.987135 ,  +42 52 47.77428 , -   17.82 , -   22.86 ,    4.4 ,  8.66  
2018, pi Tuc             ,  0 20 39.036107 ,  -69 37 29.68644 , -    4.03 , -    0.56 ,   10.6 ,  5.50  
4038,                    ,  0 20 49.593454 ,  -36 28 39.74064 , +    3.47 , -    9.29 ,    2.8 ,  8.67  
2019,                    ,  0 20 53.733105 ,  -39 14 23.53990 , -   44.92 , -   37.20 ,    9.3 ,  7.14  
4039,                    ,  0 22 19.702808 ,  +33  4  6.09726 , -    2.67 , -    6.15 ,     .5 ,  8.76  
4040,                    ,  0 22 26.887851 ,  +66 10 53.32182 , +   15.64 , -   68.32 ,   11.2 ,  8.59  
2021,                    ,  0 24 29.648956 ,  - 2 13  8.63367 , -   34.83 , -   42.59 ,    6.0 ,  6.08  
4042,                    ,  0 25 38.272025 ,  -51 24 10.59663 , +    3.91 , +   10.81 ,    5.3 ,  7.58  
4043,                    ,  0 26 59.901298 ,  +17 54 12.62096 , +   13.98 , -   21.90 ,    6.6 ,  8.69  
2024,                    ,  0 27  4.573693 ,  +25  2 31.44799 , +  101.02 , -   16.21 ,   12.5 ,  6.66  
4044,                    ,  0 27  6.926627 ,  - 9 52 22.92274 , -   12.48 , -   29.21 ,    3.2 ,  7.29  
2023,                    ,  0 27  7.385681 ,  +80  3  7.71034 , +   22.95 , -    2.52 ,    6.3 ,  6.53  
2025,                    ,  0 27 14.708112 ,  -25 32 49.81591 , +   32.34 , -   15.59 ,    4.8 ,  5.99  
4046,                    ,  0 27 51.937980 ,  +52 57 17.88272 , -  113.43 , -   28.34 ,   10.8 ,  7.78  
2026, eta Scl            ,  0 27 55.697676 ,  -33  0 25.79838 , -   21.56 , -   50.03 ,    5.9 ,  4.86  
2028,                    ,  0 28 20.054116 ,  +10 11 23.44742 , +   37.13 , -  203.61 ,   27.5 ,  6.05  
2030,                    ,  0 29 51.896555 ,  -14 51 50.79153 , +  145.82 , -   33.84 ,   23.6 ,  6.15  
4047,                    ,  0 29 55.335487 ,  - 1  7  3.89260 , +  149.51 , -   79.39 ,   14.0 ,  7.46  
4048,                    ,  0 29 59.220278 ,  -59 47 39.54159 , +    9.63 , +    6.28 ,    2.7 ,  8.14  
2031,                    ,  0 30 55.079532 ,  +77  1  9.85552 , +  340.24 , -   34.38 ,   25.3 ,  6.18  
2034,                    ,  0 33 19.263382 ,  +70 58 54.64124 , +   33.42 , -    1.19 ,    6.1 ,  6.41  
2035, theta Tuc          ,  0 33 23.358681 ,  -71 15 58.48489 , +   73.39 , -   12.79 ,    6.6 ,  6.11  
4050,                    ,  0 34 55.218043 ,  +22 54  9.69153 , +    0.32 , -   11.89 ,    6.7 ,  8.92  
4051,                    ,  0 35  1.948492 ,  -26  7 32.57991 , -   13.41 , -   10.17 ,    6.2 ,  7.62  
2036, 14 Cet             ,  0 35 32.833362 ,  - 0 30 20.19849 , +  143.23 , -   62.39 ,   17.9 ,  5.94  
4053,                    ,  0 35 57.245490 ,  + 7 36 32.94022 , +   15.14 , -    6.33 ,    6.0 ,  8.44  
2038,                    ,  0 36   .889550 ,  -59 43  2.06086 , +   78.19 , -   18.23 ,   16.7 ,  6.91  
2037,                    ,  0 36  6.857101 ,  -22 50 32.40191 , -   71.81 , -   50.59 ,   20.1 ,  6.06  
2039, 53 Psc             ,  0 36 47.312698 ,  +15 13 54.22043 , +    1.58 , -   13.15 ,    3.8 ,  5.89  
4054,                    ,  0 36 56.787384 ,  - 3 24  2.51495 , +    0.60 , -   21.04 ,    2.9 ,  7.88  
4055,                    ,  0 37  8.195475 ,  +15  8 23.15850 , +   36.35 , -   92.16 ,   16.5 ,  8.10  
4056,                    ,  0 37  9.160544 ,  -85 15  9.44039 , +   57.28 , -   44.26 ,    3.7 ,  8.07  
2040,                    ,  0 37 30.491312 ,  + 3  8  7.26783 , +   90.46 , -   59.78 ,    5.6 ,  6.43  
4057,                    ,  0 38 27.364864 ,  -45 54  4.71101 , -   29.93 , +   60.29 ,   12.4 ,  7.41  
2041,                    ,  0 38 49.273795 ,  +59 49 34.14953 , +   19.60 , -    3.59 ,    3.0 ,  6.72  
3941,                    ,  0 39 47.252382 ,  +82 29 37.54869 , -  112.54 , +   77.69 ,   30.9 ,  6.38  
2042,                    ,  0 40 42.371913 ,  - 4 21  6.62237 , -   15.82 , -   13.98 ,    5.6 ,  5.90  
2043, 32 And             ,  0 41  7.184628 ,  +39 27 31.18958 , -   14.23 , -    3.15 ,    9.4 ,  5.30  
2045,                    ,  0 42  3.420840 ,  +66  8 51.33146 , -   10.34 , -    8.66 ,    6.4 ,  5.83  
4060,                    ,  0 42 14.561983 ,  -11 48 17.52937 , +   89.83 , -   28.56 ,    5.9 ,  6.78  
4061,                    ,  0 42 50.488943 ,  -21 39 30.46100 , +   20.06 , -    1.68 ,    2.5 ,  8.74  
4062,                    ,  0 43 52.264240 ,  +33 18 38.57322 , +    0.38 , +   12.66 ,   12.9 ,  6.92  
2048, phi^1 Cet          ,  0 44 11.400866 ,  -10 36 34.38387 , -    7.75 , -  114.14 ,   15.5 ,  4.77  
4063,                    ,  0 44 21.571321 ,  -49 42 23.51113 , -    0.91 , +    8.39 ,    2.9 ,  7.72  
4064,                    ,  0 44 31.332657 ,  -71 10  7.16744 , +   46.77 , +    7.80 ,   12.3 ,  8.13  
4065,                    ,  0 44 45.711691 ,  -31 23 22.01012 , +   32.05 , -    8.10 ,    4.7 ,  7.66  
2049,                    ,  0 44 59.940826 ,  -53 42 53.62320 , +  223.49 , +    2.07 ,   22.0 ,  6.15  
4066,                    ,  0 45 12.826801 ,  +23 35 26.83474 , -    1.77 , -    7.28 ,    2.3 ,  7.40  
4067,                    ,  0 46  3.235856 ,  +40 48 32.07953 , +   87.39 , -   59.81 ,   16.3 ,  7.57  
4068,                    ,  0 46 42.459492 ,  +59 34 28.33878 , -    5.70 , -    1.10 ,     .8 ,  6.41  
2050, 58 Psc             ,  0 47  1.458455 ,  +11 58 25.86006 , +   53.74 , -   34.83 ,   12.4 ,  5.51  
2051, 59 Psc             ,  0 47 13.626390 ,  +19 34 43.32741 , +  106.87 , +    6.49 ,    9.3 ,  6.11  
2052,                    ,  0 48 41.270836 ,  -28 29 43.55569 , +   85.33 , -   55.28 ,   15.9 ,  6.78  
4069,                    ,  0 48 48.009523 ,  +18 18 50.71957 , -    9.78 , -    3.27 ,    2.2 ,  7.93  
2053,                    ,  0 48 56.727893 ,  -46 41 51.53146 , -   10.43 , +   20.83 ,    8.4 ,  6.28  
4071,                    ,  0 49   .593479 ,  -36 15 48.72604 , -   41.61 , +   13.08 ,    6.4 ,  7.59  
4072,                    ,  0 49 54.955357 ,  - 0 13 26.89448 , +   24.96 , -    8.29 ,    3.2 ,  6.64  
4073,                    ,  0 50  7.586980 ,  -40 37 11.91146 , +   51.96 , +    7.37 ,    7.8 ,  8.88  
4074,                    ,  0 50 33.374091 ,  +10 24 41.66037 , +    9.65 , -    5.86 ,    3.1 ,  8.63  
2056, rho Phe            ,  0 50 41.186627 ,  -50 59 12.53641 , +   63.21 , +   44.66 ,   13.0 ,  5.24  
4075,                    ,  0 51 50.910586 ,  -56 34 40.77620 , +    4.85 , +   70.79 ,    8.4 ,  8.13  
2057,                    ,  0 53 37.873891 ,  -62 52 16.86652 , +   74.35 , +    0.60 ,    5.3 ,  5.73  
4076,                    ,  0 54  3.977531 ,  -32 20  5.64275 , +   24.46 , -    8.55 ,    4.1 ,  8.06  
4077,                    ,  0 54 23.857672 ,  +25 42 52.96007 , -   18.69 , -   38.08 ,    4.5 ,  8.42  
4078,                    ,  0 54 48.803458 ,  +67 54 30.57634 , -    7.71 , -    2.97 ,    4.5 ,  9.29  
4079,                    ,  0 55 16.257036 ,  +85 42  9.33814 , -    2.27 , -   17.32 ,    4.2 ,  8.10  
4080,                    ,  0 55 17.111360 ,  +36  3  6.64623 , -    3.25 , -    2.80 ,    1.6 ,  8.89  
4081,                    ,  0 55 22.804884 ,  -24 39 36.83119 , +   55.30 , -   13.56 ,    6.4 ,  7.07  
2058,                    ,  0 55 42.399969 ,  - 7 20 49.73708 , -    7.31 , -   44.94 ,    6.5 ,  5.88  
4082,                    ,  0 55 49.906403 ,  -17 18 31.93763 , -    1.10 , -   19.35 ,    5.6 ,  8.33  
2059, 67 Psc             ,  0 55 58.509075 ,  +27 12 33.77509 , -   20.12 , +   11.54 ,   11.9 ,  6.08  
4083,                    ,  0 56  9.120394 ,  +13 57  7.05499 , -    3.06 , -    3.19 ,    6.5 ,  6.46  
4084,                    ,  0 56 27.209932 ,  +30 15 56.13527 , -   11.15 , +    0.22 ,    6.3 ,  9.43  
4085,                    ,  0 56 37.272432 ,  +70 27 12.62520 , -    3.06 , +    1.04 ,    1.3 ,  8.47  
4086,                    ,  0 57 21.353542 ,  -76 33 14.20769 , -   38.36 , +   13.64 ,    6.1 ,  7.39  
4087,                    ,  0 57 39.656134 ,  + 1 47  8.20741 , +    9.71 , +   11.73 ,    3.1 ,  6.97  
4088,                    ,  0 58   .408512 ,  -22 35 44.47821 , -    8.20 , -   19.89 ,    2.1 ,  8.48  
2061,                    ,  0 58 14.218958 ,  +33 57  3.18389 , +   34.99 , -   71.92 ,   17.1 ,  5.99  
4089,                    ,  0 58 19.453508 ,  + 6 50 39.52005 , +   29.44 , -    6.77 ,    5.0 ,  6.74  
4090,                    ,  0 58 44.263496 ,  -51 15 54.82245 , +   22.68 , +    5.67 ,    2.4 ,  7.53  
4092,                    ,  0 59 56.493354 ,  -67 15  7.44965 , +   13.34 , -   13.30 ,    2.6 ,  8.71  
2062,                    ,  1  0 29.894597 ,  +80 32 43.45416 , +   86.72 , +   12.30 ,    9.1 ,  6.67  
2063,                    ,  1  0 31.006041 ,  +70 58 58.75868 , +   77.38 , -    6.46 ,    9.1 ,  6.40  
4093,                    ,  1  0 35.326555 ,  -36 14 17.67600 , +   37.16 , -    3.15 ,    4.3 ,  6.99  
4094,                    ,  1  0 40.404770 ,  - 1 39 31.04099 , +    7.43 , -   19.01 ,    1.7 ,  6.85  
4095,                    ,  1  0 50.094733 ,  - 9 22 24.76581 , -    5.88 , +   13.49 ,    5.5 ,  7.40  
4096,                    ,  1  0 56.467157 ,  +50 52 44.45030 , +   10.31 , -    6.83 ,    1.5 ,  7.67  
2064, xi Scl             ,  1  1 18.275417 ,  -38 54 59.49964 , +   66.65 , +   49.79 ,    5.1 ,  5.59  
4097,                    ,  1  1 34.325302 ,  - 6 47 58.31093 , +   24.36 , -    3.16 ,    2.8 ,  7.22  
4098,                    ,  1  2 15.595947 ,  -45 10 19.46987 , -    8.24 , -   18.25 ,    5.5 ,  7.79  
2067,                    ,  1  2 36.897856 ,  -77 33  3.69232 , +   39.14 , -   49.33 ,    1.4 ,  7.24  
2065,                    ,  1  2 49.189900 ,  -46 23 50.32137 , -    2.18 , +   10.91 ,   13.8 ,  5.39  
2066,                    ,  1  4  2.389369 ,  +52 30  7.77821 , +    1.34 , -   61.14 ,    3.2 ,  5.99  
4099,                    ,  1  5  3.884649 ,  -13 45 34.55737 , +    0.97 , -   41.32 ,    3.2 ,  7.30  
3973,                    ,  1  5  8.620190 ,  -83 35 25.18171 , -    6.31 , +   17.74 ,    4.7 ,  7.37  
4101,                    ,  1  6 27.693235 ,  -39 51 22.59774 , +   17.53 , +   19.74 ,    3.3 ,  6.64  
2068, 75 Psc             ,  1  6 33.627039 ,  +12 57 21.74143 , +   14.19 , +   27.06 ,    8.9 ,  6.14  
2069,                    ,  1  7   .174995 ,  +56 56  5.89894 , +   94.95 , -  108.76 ,   10.2 ,  6.41  
4102,                    ,  1  7  1.059675 ,  -29 36 54.51465 , +   18.90 , +    0.29 ,    6.0 ,  9.38  
2071, 41 And             ,  1  8   .848856 ,  +43 56 31.52873 , +  160.86 , -   61.61 ,   16.6 ,  5.04  
2072, 78 Psc             ,  1  8  1.343758 ,  +32  0 43.65121 , +  202.76 , -   27.48 ,   23.8 ,  6.23  
4103,                    ,  1  8  5.959110 ,  +42 50 52.56924 , +    9.00 , +    3.27 ,    2.8 ,  7.69  
4104,                    ,  1  8 21.837524 ,  + 9 54 29.51020 , -    2.58 , -    1.47 ,    4.0 ,  6.71  
4105,                    ,  1  9 24.091707 ,  +22 34 39.03920 , +   29.37 , -   15.09 ,    4.3 ,  8.38  
2076,                    ,  1 10  3.289208 ,  -26 11 37.47026 , -   28.52 , -    9.09 ,    4.3 ,  7.34  
2077,                    ,  1 10  7.373684 ,  -57 41 39.90971 , -    2.89 , -  115.01 ,    7.9 ,  6.41  
2075, 44 And             ,  1 10 18.740278 ,  +42  4 53.31134 , -  135.94 , -   41.68 ,   18.9 ,  5.67  
2074, 32 Cas             ,  1 10 39.322466 ,  +68 46 43.03305 , +   35.34 , -   27.69 ,   10.2 ,  5.32  
4107,                    ,  1 11 10.579107 ,  +46 11  1.87059 , -    5.26 , -   24.92 ,    4.1 ,  6.60  
2079,                    ,  1 11 28.972241 ,  +10 17 30.87097 , +   10.89 , -    5.91 ,    7.9 ,  6.49  
2078, 32 Cas             ,  1 11 41.401329 ,  +65  1  7.87367 , +   23.53 , -   12.91 ,    8.9 ,  5.57  
2081,                    ,  1 12 10.580688 ,  -73 54 25.44638 , +   97.83 , +   30.91 ,   16.1 ,  7.17  
2080,                    ,  1 12 46.719254 ,  -35 12 20.02221 , +   13.03 , -   14.51 ,    5.2 ,  6.97  
4108,                    ,  1 13 51.604469 ,  + 5  8 30.62834 , +   59.32 , -   21.28 ,   10.9 ,  7.69  
4109,                    ,  1 14  7.064341 ,  +56  0 46.80403 , +   17.10 , -    3.98 ,    2.0 ,  7.97  
4110,                    ,  1 14 23.479883 ,  -37  0 25.76104 , +   85.67 , +   42.49 ,    9.1 ,  8.23  
2084, 38 Cet             ,  1 14 49.171941 ,  - 0 58 25.66417 , -   14.66 , +  205.11 ,   22.7 ,  5.70  
4111,                    ,  1 15 35.649268 ,  + 0 54 44.84432 , +   42.19 , +    3.30 ,    7.4 ,  6.71  
4112,                    ,  1 16  6.818002 ,  -34  8 55.70695 , +   19.12 , -    5.89 ,    3.1 ,  8.40  
2085,                    ,  1 16 24.493111 ,  +48  4 56.08619 , +    8.82 , -    3.95 ,    4.0 ,  6.61  
2086,                    ,  1 16 29.099855 ,  -67 25 51.71820 , +  130.60 , +   24.33 ,   16.7 ,  6.91  
4113,                    ,  1 16 36.594740 ,  -87 20 25.64945 , +    8.34 , -    4.53 ,    1.6 ,  7.93  
4114,                    ,  1 16 59.006488 ,  - 2 16 44.98265 , +  259.40 , -  141.45 ,   33.6 ,  6.52  
4115,                    ,  1 17 41.358398 ,  -51  2  4.51509 , -    2.74 , -    1.45 ,    3.4 ,  8.23  
4116,                    ,  1 18 11.392751 ,  +81 33 37.92337 , -    3.14 , -    4.87 ,    3.8 ,  7.62  
4117,                    ,  1 19 29.063796 ,  -24 57  4.34804 , -   22.15 , -  122.25 ,   18.8 ,  8.41  
4118,                    ,  1 19 33.937519 ,  -47 17 32.37102 , -    9.88 , -   12.28 ,    2.6 ,  7.48  
4119,                    ,  1 19 47.656652 ,  +67 12  8.40917 , +   29.49 , -    0.16 ,    4.7 ,  9.25  
4120,                    ,  1 19 58.310233 ,  -57 20 56.96544 , +   45.33 , +   37.76 ,    6.1 ,  7.44  
4121,                    ,  1 20  9.493302 ,  +39  5 36.65365 , +   12.60 , -   14.75 ,    3.2 ,  8.39  
2088,                    ,  1 20 27.807878 ,  -11 14 20.39570 , -   50.06 , -   75.67 ,    8.5 ,  6.16  
4122,                    ,  1 20 40.648679 ,  -13 53 23.91821 , +   39.16 , +    6.87 ,    6.2 ,  6.84  
4123,                    ,  1 20 41.101290 ,  +15 41 45.74050 , +   48.87 , -    8.88 ,    9.8 ,  7.25  
4124,                    ,  1 21  3.664568 ,  +25  9 30.15681 , +  107.16 , -  105.30 ,   19.4 ,  7.86  
2089, 91 Psc             ,  1 21  7.372528 ,  +28 44 17.54215 , +   27.94 , -   75.56 ,    9.4 ,  5.23  
4125,                    ,  1 22 21.178062 ,  -61 19 45.90907 , +   28.31 , +   19.29 ,    1.4 ,  7.22  
2091,                    ,  1 22 36.952691 ,  + 1 43 34.79614 , +   64.92 , -   44.83 ,    3.8 ,  6.21  
2094,                    ,  1 23 21.485427 ,  -17 56  2.14252 , +    4.59 , -    1.49 ,    4.1 ,  7.05  
4127,                    ,  1 23 46.407515 ,  +48 22 34.14446 , +    7.06 , -   16.30 ,    1.8 ,  7.63  
4128,                    ,  1 24   .427727 ,  -72 19 27.85930 , +   14.69 , +    2.45 ,    3.9 ,  7.80  
2095,                    ,  1 24 40.786398 ,  -41 29 33.17474 , +   16.87 , -   36.90 ,   13.2 ,  5.42  
4129,                    ,  1 24 46.843294 ,  +20  9 31.81716 , +  110.97 , +   42.42 ,   10.7 ,  8.15  
4130,                    ,  1 25  8.321785 ,  +35 43 59.33882 , -    6.52 , -    1.80 ,    5.0 ,  7.66  
4134,                    ,  1 26  5.007388 ,  -22 47 54.17348 , +   20.87 , +    3.30 ,    3.7 ,  7.11  
4135,                    ,  1 26 47.338552 ,  - 8 35 13.44244 , +   17.51 , +   19.16 ,    5.2 ,  8.34  
2097,                    ,  1 27 38.968251 ,  -71 42 14.78045 , -    1.83 , +   56.02 ,   10.4 ,  7.26  
4136,                    ,  1 28 57.476296 ,  -17 56 14.47470 , +   70.95 , -    4.62 ,   12.9 ,  6.66  
2098,                    ,  1 29 42.815621 ,  -25 37  3.89526 , +   38.99 , +   12.91 ,    5.5 ,  6.37  
2099, mu Psc             ,  1 30 11.114320 ,  + 6  8 37.75648 , +  291.95 , -   46.06 ,    9.0 ,  4.84  
4137,                    ,  1 31  2.474452 ,  +39 29 40.60679 , +    5.98 , -    4.99 ,    3.2 ,  7.58  
2100,                    ,  1 32  7.577698 ,  +34 47 59.86674 , -    8.32 , -    5.09 ,    3.4 ,  6.39  
4138,                    ,  1 32 31.504370 ,  +50 49 27.03271 , -   16.56 , -    9.67 ,    5.7 ,  8.96  
2103,                    ,  1 33 13.029200 ,  -79 55 35.70486 , +   32.47 , +   10.82 ,    3.6 ,  7.21  
4139,                    ,  1 33 26.346374 ,  +54 56 41.52137 , -    0.98 , -    0.97 ,    1.0 ,  6.92  
4141,                    ,  1 33 50.719093 ,  +89  0 56.30407 , +   64.87 , -   32.22 ,   10.1 ,  6.46  
4142,                    ,  1 34 18.364419 ,  -27 21 47.19793 , +   18.33 , +   20.02 ,    5.3 ,  7.89  
4143,                    ,  1 35  6.358762 ,  - 2 20  7.21566 , +   25.13 , -    0.24 ,    6.9 ,  7.44  
2102,                    ,  1 35 24.151352 ,  +53 20 44.05940 , +    8.07 , -    1.71 ,    3.8 ,  6.86  
4144,                    ,  1 35 29.916282 ,  -42 19 32.77296 , -    7.91 , -    9.57 ,    5.5 ,  9.35  
2105,                    ,  1 35 50.566140 ,  -39 56 49.65262 , -   44.16 , -   48.75 ,   26.5 ,  6.43  
2104, 50 Cet             ,  1 35 58.969154 ,  -15 24   .66112 , +   19.79 , +   13.24 ,    5.9 ,  5.41  
4146,                    ,  1 36 48.324245 ,  -48 48 14.05789 , -    9.02 , +   30.44 ,    6.4 ,  6.85  
4147,                    ,  1 37 10.077985 ,  -56 16 14.40115 , +    8.97 , -    3.64 ,    2.4 ,  9.23  
2106,                    ,  1 37 16.160462 ,  - 0 21  1.13214 , -    6.01 , -   75.58 ,   11.3 ,  7.08  
2111,                    ,  1 38  3.723932 ,  -46  5  1.75593 , +   50.30 , +   15.13 ,    5.6 ,  6.97  
4148,                    ,  1 38  5.019849 ,  -66 33 23.15161 , +    7.69 , +    2.96 ,    1.1 ,  7.65  
2108,                    ,  1 38  7.567331 ,  +57 58 39.47239 , +    3.29 , -    5.62 ,    2.8 ,  5.55  
2107,                    ,  1 38 12.636313 ,  +62 21  6.41442 , -    7.68 , -    0.13 ,    5.2 ,  6.72  
2110,                    ,  1 38 37.272734 ,  +21 23 53.59647 , +   38.17 , -    4.22 ,    3.5 ,  6.66  
2113,                    ,  1 38 51.788741 ,  -21 16 31.38556 , +  129.28 , +   36.87 ,   14.2 ,  5.58  
4150,                    ,  1 41  7.218541 ,  +23  1 31.05060 , +   24.89 , -   10.54 ,    4.0 ,  7.45  
2116,                    ,  1 41 47.967789 ,  -60 47 21.61936 , +   13.06 , -   40.19 ,    8.7 ,  5.70  
4151,                    ,  1 42 26.916718 ,  +15 46 42.72714 , +   30.61 , -    4.65 ,    5.2 ,  7.58  
4152,                    ,  1 42 32.003506 ,  - 8 39 34.21488 , +   51.43 , +   23.33 ,    5.4 ,  6.99  
4153,                    ,  1 42 35.766713 ,  -20 10 21.23872 , +    4.97 , -    5.99 ,    3.0 ,  7.18  
4154,                    ,  1 43 56.100334 ,  +32 44 24.63588 , -   32.41 , +   27.74 ,    9.1 ,  8.48  
4155,                    ,  1 44 21.353860 ,  +53 11 20.78517 , -    3.96 , -    1.22 ,    1.6 ,  8.27  
4158,                    ,  1 45 29.902854 ,  +44 48 22.94232 , -   12.93 , +    0.27 ,    8.5 ,  8.77  
4159,                    ,  1 45 33.354785 ,  +27  7  8.51806 , -   22.05 , -   30.77 ,    6.1 ,  8.40  
2117,                    ,  1 45 59.260442 ,  - 5 43 59.87802 , -    9.10 , -   29.82 ,    6.4 ,  5.37  
2118,                    ,  1 46  6.262909 ,  -53 31 19.33374 , +  126.41 , +   59.04 ,   17.5 ,  5.04  
4160,                    ,  1 46 12.958629 ,  -46 56 52.06709 , -   75.16 , -   60.66 ,   12.6 ,  9.35  
4161,                    ,  1 46 39.333557 ,  -61 23 27.56355 , -   54.40 , -   16.59 ,    7.9 ,  7.69  
