ID,Name,Source
254,4174                    ,FK6
255,2131 56 Cet             ,FK6
256,4175                    ,FK6
257,4176                    ,FK6
258,4178                    ,FK6
259,2136                    ,FK6
260,4179                    ,FK6
261,2137                    ,FK6
262,4180                    ,FK6
263,3974                    ,FK6
264,2138 chi Phe            ,FK6
265,2144                    ,FK6
266,4182                    ,FK6
267,4183                    ,FK6
268,4184                    ,FK6
269,4185                    ,FK6
270,4186                    ,FK6
271,2140                    ,FK6
272,2141                    ,FK6
273,2142 60 Cet             ,FK6
274,2143                    ,FK6
275,4188                    ,FK6
276,4189                    ,FK6
277,4190                    ,FK6
278,4192                    ,FK6
279,4193                    ,FK6
280,4194                    ,FK6
281,4195                    ,FK6
282,4196                    ,FK6
283,4197                    ,FK6
284,2145 58 And             ,FK6
285,4198                    ,FK6
286,3943                    ,FK6
287,2147                    ,FK6
288,4199                    ,FK6
289,4200                    ,FK6
290,2146                    ,FK6
291,2154                    ,FK6
292,4201                    ,FK6
293,4202                    ,FK6
294,2150                    ,FK6
295,2148 5 Tri              ,FK6
296,2151 63 Cet             ,FK6
297,2152                    ,FK6
298,2149                    ,FK6
299,4204                    ,FK6
300,4205                    ,FK6
301,2155                    ,FK6
302,4206                    ,FK6
303,4207                    ,FK6
304,4210                    ,FK6
305,4211                    ,FK6
306,2156                    ,FK6
307,2157 8 Per              ,FK6
308,4213                    ,FK6
309,4214                    ,FK6
310,4215                    ,FK6
311,4216                    ,FK6
312,4218                    ,FK6
313,4219                    ,FK6
314,2162                    ,FK6
315,2160 70 Cet             ,FK6
316,4221                    ,FK6
317,4222                    ,FK6
318,4223                    ,FK6
319,2163                    ,FK6
320,4224                    ,FK6
321,2164 xi Ari             ,FK6
322,4225                    ,FK6
323,2166                    ,FK6
324,2167                    ,FK6
325,4227                    ,FK6
326,4228                    ,FK6
327,2168 phi For            ,FK6
328,2170                    ,FK6
329,4229                    ,FK6
330,4230                    ,FK6
331,2169                    ,FK6
332,4231                    ,FK6
333,4232                    ,FK6
334,2172 26 Ari             ,FK6
335,2173                    ,FK6
336,2175                    ,FK6
337,4233                    ,FK6
338,2174                    ,FK6
339,4234                    ,FK6
340,4235                    ,FK6
341,4236                    ,FK6
342,4237                    ,FK6
343,4238                    ,FK6
344,4239                    ,FK6
345,4241                    ,FK6
346,2178                    ,FK6
347,2180 81 Cet             ,FK6
348,2181                    ,FK6
349,2183 iota^2 For         ,FK6
350,4242                    ,FK6
351,4243                    ,FK6
352,4245                    ,FK6
353,4246                    ,FK6
354,4247                    ,FK6
355,4248                    ,FK6
356,2189                    ,FK6
357,2188 11 Per             ,FK6
358,2190 36 Ari             ,FK6
359,4251                    ,FK6
360,2191 zeta Hyi           ,FK6
361,4252                    ,FK6
362,4253                    ,FK6
363,4254                    ,FK6
364,4255                    ,FK6
365,4256                    ,FK6
366,4257                    ,FK6
367,4258                    ,FK6
368,4259                    ,FK6
369,2196 nu Hor             ,FK6
370,2193                    ,FK6
371,4260                    ,FK6
372,2199 nu Hyi             ,FK6
373,2194 16 Per             ,FK6
374,4261                    ,FK6
375,4262                    ,FK6
376,2198 17 Per             ,FK6
377,2197                    ,FK6
378,2200 psi For            ,FK6
379,2202                    ,FK6
380,4264                    ,FK6
381,4265                    ,FK6
382,4266                    ,FK6
383,4267                    ,FK6
384,4268                    ,FK6
385,2206                    ,FK6
386,2205 21 Per             ,FK6
387,4269                    ,FK6
388,2208                    ,FK6
389,4270                    ,FK6
390,4271                    ,FK6
391,2207 pi Per             ,FK6
392,2212 beta Hor           ,FK6
393,2210                    ,FK6
394,2211                    ,FK6
395,2209 5 Eri              ,FK6
396,4272                    ,FK6
397,4273                    ,FK6
398,4274                    ,FK6
399,4275                    ,FK6
400,2213                    ,FK6
401,4276                    ,FK6
402,4277                    ,FK6
403,2215 epsilon For        ,FK6
404,4278                    ,FK6
405,2214 49 Ari             ,FK6
406,2216                    ,FK6
407,4279                    ,FK6
408,2218                    ,FK6
409,4280                    ,FK6
410,4281                    ,FK6
411,2217                    ,FK6
412,4283                    ,FK6
413,2220                    ,FK6
414,4284                    ,FK6
415,4285                    ,FK6
416,4286                    ,FK6
417,4287                    ,FK6
418,4288                    ,FK6
419,4289                    ,FK6
420,2223                    ,FK6
421,4290                    ,FK6
422,4291                    ,FK6
423,4292                    ,FK6
424,4293                    ,FK6
425,2222                    ,FK6
426,4294                    ,FK6
427,4295                    ,FK6
428,4296                    ,FK6
429,4297                    ,FK6
430,4298                    ,FK6
431,2229                    ,FK6
432,4300                    ,FK6
433,2233                    ,FK6
434,2230                    ,FK6
435,2235                    ,FK6
436,4302                    ,FK6
437,4303                    ,FK6
438,2232                    ,FK6
439,4304                    ,FK6
440,4305                    ,FK6
441,4306                    ,FK6
442,2234                    ,FK6
443,2236 32 Per             ,FK6
444,4307                    ,FK6
445,2237                    ,FK6
446,2238                    ,FK6
447,2239                    ,FK6
448,4308                    ,FK6
449,2241                    ,FK6
450,2240 64 Ari             ,FK6
451,4309                    ,FK6
452,4310                    ,FK6
453,4311                    ,FK6
454,2243                    ,FK6
455,4312                    ,FK6
456,4313                    ,FK6
457,2245                    ,FK6
458,4315                    ,FK6
459,4316                    ,FK6
460,2246                    ,FK6
461,2248                    ,FK6
462,2247                    ,FK6
463,4318                    ,FK6
464,2253                    ,FK6
465,2249 36 Per             ,FK6
466,2256                    ,FK6
467,2251                    ,FK6
468,4320                    ,FK6
469,4321                    ,FK6
470,4322                    ,FK6
471,4324                    ,FK6
472,4325                    ,FK6
473,4326                    ,FK6
474,4327                    ,FK6
475,4328                    ,FK6
476,4329                    ,FK6
477,4330                    ,FK6
478,4331                    ,FK6
479,2258 12 Tau             ,FK6
480,4332                    ,FK6
481,2260 22 Eri             ,FK6
482,4333                    ,FK6
483,4334                    ,FK6
484,4335                    ,FK6
485,4336                    ,FK6
486,2264                    ,FK6
487,2263 13 Tau             ,FK6
488,4339                    ,FK6
489,4340                    ,FK6
490,4341                    ,FK6
491,2268                    ,FK6
492,2266                    ,FK6
493,2262                    ,FK6
494,4342                    ,FK6
495,4343                    ,FK6
496,2267                    ,FK6
497,4344                    ,FK6
498,4345                    ,FK6
499,2271                    ,FK6
500,2272 rho For            ,FK6
501,2270                    ,FK6
502,2273                    ,FK6
503,4346                    ,FK6
504,2274                    ,FK6
505,4348                    ,FK6
506,4349                    ,FK6
507,4350                    ,FK6
508,4351                    ,FK6
509,4352                    ,FK6
510,2278                    ,FK6
511,4353                    ,FK6
512,4354                    ,FK6
513,4357                    ,FK6
514,2279                    ,FK6
515,4358                    ,FK6
516,2284                    ,FK6
517,4359                    ,FK6
518,2283 32 Tau             ,FK6
519,2281                    ,FK6
520,2286                    ,FK6
521,4360                    ,FK6
522,4361                    ,FK6
523,4362                    ,FK6
524,2288                    ,FK6
525,4363                    ,FK6
526,4364                    ,FK6
527,4365                    ,FK6
528,2285                    ,FK6
529,2293                    ,FK6
530,2292                    ,FK6
531,2290                    ,FK6
532,4367                    ,FK6
533,4369                    ,FK6
534,2294                    ,FK6
535,2291                    ,FK6
536,4371                    ,FK6
537,2295 psi Tau            ,FK6
538,4372                    ,FK6
539,4373                    ,FK6
540,2296                    ,FK6
541,2298                    ,FK6
542,4374                    ,FK6
543,4375                    ,FK6
544,3947                    ,FK6
545,4376                    ,FK6
546,4377                    ,FK6
547,4378                    ,FK6
548,4380                    ,FK6
549,2300                    ,FK6
550,2301 45 Tau             ,FK6
551,2303                    ,FK6
552,4381                    ,FK6
553,4382                    ,FK6
554,4383                    ,FK6
555,2307                    ,FK6
556,2305                    ,FK6
